REGION,year,month,mean_max_temp,mean_min_temp,avg_temp
NSW,2010,1,27.6,20.7,24.15
NSW,2010,2,27.4,21.2,24.299999999999997
NSW,2010,3,25.7,19.3,22.5
NSW,2010,4,24.6,15.9,20.25
NSW,2010,5,20.6,12.1,16.35
NSW,2010,6,17.7,9.6,13.649999999999999
NSW,2010,7,17.1,9.2,13.15
NSW,2010,8,18.3,9.5,13.9
NSW,2010,9,21,12.3,16.65
NSW,2010,10,22,14.9,18.45
NSW,2010,11,23.5,16.9,20.2
NSW,2010,12,25.8,18.9,22.35
NSW,2011,1,27.4,20.9,24.15
NSW,2011,2,28.4,21.1,24.75
NSW,2011,3,26,19.2,22.6
NSW,2011,4,22.7,14.7,18.7
NSW,2011,5,19.5,10.7,15.1
NSW,2011,6,18,10.3,14.15
NSW,2011,7,17.4,8.6,13
NSW,2011,8,19.8,10.7,15.25
NSW,2011,9,21.7,12.5,17.1
NSW,2011,10,22.2,14.4,18.3
NSW,2011,11,25.2,17.8,21.5
NSW,2011,12,23.1,16.7,19.9
NSW,2012,1,26.1,19.6,22.85
NSW,2012,2,25.8,19.2,22.5
NSW,2012,3,24.7,17.8,21.25
NSW,2012,4,23.6,15.5,19.55
NSW,2012,5,20.9,11.2,16.049999999999997
NSW,2012,6,17.7,9.7,13.7
NSW,2012,7,17.6,8.9,13.25
NSW,2012,8,19.9,9.4,14.649999999999999
NSW,2012,9,22.5,12,17.25
NSW,2012,10,23.3,13.8,18.55
NSW,2012,11,24.1,16.8,20.450000000000003
NSW,2012,12,26,18.6,22.3
NSW,2013,1,27.6,20.5,24.05
NSW,2013,2,26.2,19.5,22.85
NSW,2013,3,26.4,18.9,22.65
NSW,2013,4,24,14.9,19.45
NSW,2013,5,21.3,11.9,16.6
NSW,2013,6,18.1,10.8,14.450000000000001
NSW,2013,7,19.5,9.8,14.65
NSW,2013,8,21.1,10.5,15.8
NSW,2013,9,24.4,13.8,19.1
NSW,2013,10,25.7,15,20.35
NSW,2013,11,24,16.4,20.2
NSW,2013,12,26.4,18.6,22.5
NSW,2014,1,26.9,19.8,23.35
NSW,2014,2,26.2,19.9,23.049999999999997
NSW,2014,3,26.4,19.2,22.799999999999997
NSW,2014,4,23.8,15.9,19.85
NSW,2014,5,23.2,13.1,18.15
NSW,2014,6,19.6,11,15.3
NSW,2014,7,19,8.9,13.95
NSW,2014,8,18.3,9.6,13.95
NSW,2014,9,21.9,12.3,17.1
NSW,2014,10,24.7,15.1,19.9
NSW,2014,11,25.8,17.9,21.85
NSW,2014,12,25.8,19.1,22.450000000000003
QLD,2010,1,31.1,21.9,26.5
QLD,2010,2,30.1,22,26.05
QLD,2010,3,28.2,20.4,24.299999999999997
QLD,2010,4,27.3,18.1,22.700000000000003
QLD,2010,5,23.8,14,18.9
QLD,2010,6,21.6,11.7,16.65
QLD,2010,7,21.7,11.9,16.8
QLD,2010,8,22,10.9,16.45
QLD,2010,9,24.8,15.5,20.15
QLD,2010,10,24.8,16,20.4
QLD,2010,11,26.6,18.5,22.55
QLD,2010,12,27.8,20.5,24.15
QLD,2011,1,29.6,21.2,25.4
QLD,2011,2,30.6,21.7,26.15
QLD,2011,3,28.7,20.3,24.5
QLD,2011,4,26.2,17.4,21.799999999999997
QLD,2011,5,23.4,12.8,18.1
QLD,2011,6,20.9,10.3,15.6
QLD,2011,7,21.5,9.5,15.5
QLD,2011,8,22.6,11.2,16.9
QLD,2011,9,24.9,12.6,18.75
QLD,2011,10,25.6,15.9,20.75
QLD,2011,11,28.8,19.9,24.35
QLD,2011,12,27.6,18.8,23.200000000000003
QLD,2012,1,28.7,20.7,24.7
QLD,2012,2,29.8,21.1,25.450000000000003
QLD,2012,3,28.2,19.7,23.95
QLD,2012,4,26.5,17.3,21.9
QLD,2012,5,24,12.7,18.35
QLD,2012,6,21.1,12.1,16.6
QLD,2012,7,21.4,11.1,16.25
QLD,2012,8,23.3,9.6,16.45
QLD,2012,9,25.5,13.4,19.45
QLD,2012,10,27.3,15.4,21.35
QLD,2012,11,28.2,18.4,23.299999999999997
QLD,2012,12,30.5,21,25.75
QLD,2013,1,30.5,22.3,26.4
QLD,2013,2,28.5,20.6,24.55
QLD,2013,3,28.4,19.9,24.15
QLD,2013,4,26.7,16.6,21.65
QLD,2013,5,23.3,13.5,18.4
QLD,2013,6,21,12.2,16.6
QLD,2013,7,21.8,12.6,17.2
QLD,2013,8,24.8,10.8,17.8
QLD,2013,9,27.2,14.9,21.05
QLD,2013,10,28.8,17,22.9
QLD,2013,11,28.5,18.1,23.3
QLD,2013,12,29.7,19.6,24.65
QLD,2014,1,30.7,21.5,26.1
QLD,2014,2,30.2,21.2,25.7
QLD,2014,3,29.2,20.1,24.65
QLD,2014,4,28.2,17.9,23.049999999999997
QLD,2014,5,25.1,15.1,20.1
QLD,2014,6,23.3,12.6,17.95
QLD,2014,7,22.4,8.5,15.45
QLD,2014,8,22.7,11.9,17.3
QLD,2014,9,25.2,12.9,19.05
QLD,2014,10,27.8,16.6,22.200000000000003
QLD,2014,11,29.6,20.7,25.15
QLD,2014,12,29.9,21.2,25.549999999999997
SA,2010,1,29.6,16.8,23.200000000000003
SA,2010,2,29.7,18.1,23.9
SA,2010,3,26.7,15.3,21
SA,2010,4,23.2,13.7,18.45
SA,2010,5,19.4,9.9,14.649999999999999
SA,2010,6,15.7,7.1,11.399999999999999
SA,2010,7,15,6,10.5
SA,2010,8,15,8,11.5
SA,2010,9,16.1,9,12.55
SA,2010,10,20.5,10.6,15.55
SA,2010,11,23,13.4,18.2
SA,2010,12,25.9,15.5,20.7
SA,2011,1,29.1,17.1,23.1
SA,2011,2,27.6,17.7,22.65
SA,2011,3,24.3,15,19.65
SA,2011,4,22.3,11.5,16.9
SA,2011,5,17.9,9.8,13.85
SA,2011,6,16.5,7.8,12.15
SA,2011,7,15.5,7.1,11.3
SA,2011,8,17.3,8.2,12.75
SA,2011,9,20.5,9.3,14.9
SA,2011,10,21.3,12.5,16.9
SA,2011,11,25.5,14.3,19.9
SA,2011,12,26.9,15.3,21.1
SA,2012,1,30,18.1,24.05
SA,2012,2,26.7,16.8,21.75
SA,2012,3,25.3,14.7,20
SA,2012,4,23.6,12,17.8
SA,2012,5,18,8.7,13.35
SA,2012,6,15.3,7.2,11.25
SA,2012,7,15.1,7.5,11.3
SA,2012,8,15.5,7.4,11.45
SA,2012,9,19.1,9,14.05
SA,2012,10,21.9,9.6,15.75
SA,2012,11,26.6,14.5,20.55
SA,2012,12,27,15.5,21.25
SA,2013,1,28.5,15.7,22.1
SA,2013,2,28.7,17.3,23
SA,2013,3,27.3,17.6,22.450000000000003
SA,2013,4,23.2,12.5,17.85
SA,2013,5,20.6,11.7,16.15
SA,2013,6,16.1,8.2,12.15
SA,2013,7,15.9,8.8,12.350000000000001
SA,2013,8,16.7,9.2,12.95
SA,2013,9,21.3,11.7,16.5
SA,2013,10,21.8,11.1,16.45
SA,2013,11,24.2,12.1,18.15
SA,2013,12,27.1,14.6,20.85
SA,2014,1,30.7,17.8,24.25
SA,2014,2,28.2,16.9,22.549999999999997
SA,2014,3,26,14.6,20.3
SA,2014,4,22.8,12.8,17.8
SA,2014,5,20.4,11.6,16
SA,2014,6,16.5,8.9,12.7
SA,2014,7,15.1,7.8,11.45
SA,2014,8,16.3,5.5,10.9
SA,2014,9,20.1,9.9,15
SA,2014,10,24.5,11.3,17.9
SA,2014,11,25.3,14,19.65
SA,2014,12,25,14.9,19.95
TAS,2010,1,24.1,12.9,18.5
TAS,2010,2,23.1,13.7,18.4
TAS,2010,3,22.7,13.5,18.1
TAS,2010,4,19.3,10.7,15
TAS,2010,5,15.6,6.7,11.15
TAS,2010,6,13.4,5,9.2
TAS,2010,7,13.9,5,9.45
TAS,2010,8,13.8,5.3,9.55
TAS,2010,9,14.8,6.6,10.7
TAS,2010,10,18.5,8.3,13.4
TAS,2010,11,19,9.7,14.35
TAS,2010,12,20.3,11.2,15.75
TAS,2011,1,22.5,13.4,17.95
TAS,2011,2,20.7,11.8,16.25
TAS,2011,3,20,10.9,15.45
TAS,2011,4,18.1,10,14.05
TAS,2011,5,14.9,7.1,11
TAS,2011,6,13.2,5.2,9.2
TAS,2011,7,12,4.5,8.25
TAS,2011,8,14.7,8.1,11.399999999999999
TAS,2011,9,16.3,7.1,11.7
TAS,2011,10,17.1,8.1,12.600000000000001
TAS,2011,11,20.7,10.9,15.8
TAS,2011,12,20.3,11.6,15.95
TAS,2012,1,23.7,13.5,18.6
TAS,2012,2,22.5,13.3,17.9
TAS,2012,3,20.7,12,16.35
TAS,2012,4,19.6,10.4,15
TAS,2012,5,15.4,8.1,11.75
TAS,2012,6,12.5,5.3,8.9
TAS,2012,7,12.9,4.7,8.8
TAS,2012,8,13.8,5.7,9.75
TAS,2012,9,15.9,7.3,11.6
TAS,2012,10,17.5,8.2,12.85
TAS,2012,11,20.4,10.4,15.399999999999999
TAS,2012,12,22.5,12.2,17.35
TAS,2013,1,23.9,13.1,18.5
TAS,2013,2,23.5,13.8,18.65
TAS,2013,3,22.9,13.5,18.2
TAS,2013,4,17.9,9.4,13.649999999999999
TAS,2013,5,16,7.1,11.55
TAS,2013,6,13,6.1,9.55
TAS,2013,7,13.7,6.2,9.95
TAS,2013,8,14.2,5.7,9.95
TAS,2013,9,16.7,8.2,12.45
TAS,2013,10,17.7,8.5,13.1
TAS,2013,11,16.9,9.6,13.25
TAS,2013,12,21.2,11.8,16.5
TAS,2014,1,23.5,12.5,18
TAS,2014,2,23.1,13,18.05
TAS,2014,3,22,12.6,17.3
TAS,2014,4,18.3,9.7,14
TAS,2014,5,15.6,7.7,11.65
TAS,2014,6,13.3,6.4,9.850000000000001
TAS,2014,7,13.4,5.9,9.65
TAS,2014,8,14.6,5.4,10
TAS,2014,9,17.9,7.8,12.85
TAS,2014,10,18.1,8.6,13.350000000000001
TAS,2014,11,19.4,10.3,14.85
TAS,2014,12,20.3,12.1,16.2
VIC,2010,1,27.5,15.9,21.7
VIC,2010,2,28.2,18.2,23.2
VIC,2010,3,26.2,16.3,21.25
VIC,2010,4,22.9,14.5,18.7
VIC,2010,5,18.2,9.8,14
VIC,2010,6,14.6,7.5,11.05
VIC,2010,7,14.6,7.3,10.95
VIC,2010,8,14.7,7.6,11.149999999999999
VIC,2010,9,16.5,9.1,12.8
VIC,2010,10,20.7,10.9,15.8
VIC,2010,11,23.2,13.4,18.3
VIC,2010,12,24.8,14.5,19.65
VIC,2011,1,26.5,17,21.75
VIC,2011,2,25.3,16.3,20.8
VIC,2011,3,23.5,14.9,19.2
VIC,2011,4,21.2,11.7,16.45
VIC,2011,5,16.3,9.6,12.95
VIC,2011,6,15.8,7.8,11.8
VIC,2011,7,14.6,7.7,11.15
VIC,2011,8,17.4,9,13.2
VIC,2011,9,19.4,9.8,14.6
VIC,2011,10,20.8,11.4,16.1
VIC,2011,11,24.5,14.1,19.3
VIC,2011,12,25.1,15,20.05
VIC,2012,1,27.4,17.3,22.35
VIC,2012,2,27,16.7,21.85
VIC,2012,3,23.7,14.5,19.1
VIC,2012,4,21.9,12,16.95
VIC,2012,5,17,10,13.5
VIC,2012,6,14.4,8,11.2
VIC,2012,7,14.9,7.7,11.3
VIC,2012,8,15.2,8.1,11.649999999999999
VIC,2012,9,18.6,9.9,14.25
VIC,2012,10,20.8,10.8,15.8
VIC,2012,11,23.3,13.7,18.5
VIC,2012,12,25.7,15.1,20.4
VIC,2013,1,27.3,16,21.65
VIC,2013,2,29.2,17.6,23.4
VIC,2013,3,27.6,16.7,22.15
VIC,2013,4,21.3,12.3,16.8
VIC,2013,5,18.1,9.8,13.950000000000001
VIC,2013,6,15.4,7.4,11.4
VIC,2013,7,15.9,8.4,12.15
VIC,2013,8,16.5,9.3,12.9
VIC,2013,9,20.1,11.2,15.65
VIC,2013,10,19.8,11.1,15.45
VIC,2013,11,22,12.4,17.2
VIC,2013,12,24.7,14.3,19.5
VIC,2014,1,28.6,17.1,22.85
VIC,2014,2,28.4,16.8,22.6
VIC,2014,3,25.4,15.3,20.35
VIC,2014,4,21.1,13.3,17.200000000000003
VIC,2014,5,19.3,11.1,15.2
VIC,2014,6,15.8,9.8,12.8
VIC,2014,7,14.7,8.4,11.55
VIC,2014,8,16.2,7.9,12.05
VIC,2014,9,19.3,10,14.65
VIC,2014,10,22.6,11.4,17
VIC,2014,11,23.9,13.2,18.549999999999997
VIC,2014,12,25,15.2,20.1
